Word, Frequency, Frequency(%)
horror,34,0.01
chance,34,0.01
pleasure,34,0.01
consider,34,0.01
ashamed,34,0.01
living,34,0.01
aside,34,0.01
showed,34,0.01
mad,34,0.01
trouble,34,0.01
slowly,34,0.01
asking,33,0.01
form,33,0.01
unexpected,33,0.01
loathing,33,0.01
across,33,0.01
position,33,0.01
learned,33,0.01
explained,33,0.01
glass,33,0.01
human,33,0.01
paper,33,0.01
comes,33,0.01
scoundrel,33,0.01
nice,33,0.01
miss,33,0.01
town,33,0.01
dress,33,0.01
obviously,33,0.01
held,33,0.01
arms,33,0.01
happen,33,0.01
realized,33,0.01
burst,33,0.01
suppose,33,0.01
meal,33,0.01
empty,33,0.01
intelligent,33,0.01
move,33,0.01
haven,33,0.01
funeral,32,0.01
locked,32,0.01
meanwhile,32,0.01
wide,32,0.01
expression,32,0.01
speaking,32,0.01
beating,32,0.01
scene,32,0.01
asleep,32,0.01
respect,32,0.01
meet,32,0.01
evidence,32,0.01
waited,32,0.01
murderer,32,0.01
service,32,0.01
above,32,0.01
further,32,0.01
wrong,32,0.01
instead,32,0.01
coat,32,0.01
observed,32,0.01
white,31,0.01
tone,31,0.01
call,31,0.01
facts,31,0.01
becoming,31,0.01
dreams,31,0.01
happy,31,0.01
fully,31,0.01
tradesman,31,0.01
neva,31,0.01
offended,31,0.01
incidentally,31,0.01
worth,31,0.01
embarrassed,31,0.01
wine,31,0.01
glance,31,0.01
notes,31,0.01
crying,31,0.01
instance,31,0.01
carried,31,0.01
remained,30,0.01
spent,30,0.01
stepped,30,0.01
mine,30,0.01
pass,30,0.01
cap,30,0.01
forgot,30,0.01
caught,30,0.01
firmly,30,0.01
forth,30,0.01
jumped,30,0.01
honor,30,0.01
dmitri,30,0.01
senses,30,0.01
eight,30,0.01
throw,30,0.01
covered,30,0.01
finished,30,0.01
ended,30,0.01
endure,30,0.01
months,30,0.01
send,30,0.01
listening,30,0.01
giving,30,0.01
black,30,0.01
drew,30,0.01
deep,30,0.01
catch,30,0.01
forgive,29,0.01
law,29,0.01
feelings,29,0.01
opposite,29,0.01
beforehand,29,0.01
attentively,29,0.01
seized,29,0.01
middle,29,0.01
loved,29,0.01
red,29,0.01
various,29,0.01
complete,29,0.01
tormented,29,0.01
watch,29,0.01
ivanovich,29,0.01
piece,29,0.01
polechka,29,0.01
fall,29,0.01
prison,29,0.01
judge,29,0.01
book,29,0.01
thus,28,0.01
city,28,0.01
twice,28,0.01
rose,28,0.01
yellow,28,0.01
talked,28,0.01
bridge,28,0.01
address,28,0.01
candle,28,0.01
n,28,0.01
slightly,28,0.01
knowing,28,0.01
dream,28,0.01
none,28,0.01
reached,28,0.01
seriously,28,0.01
particular,28,0.01
write,28,0.01
ill,28,0.01
reply,28,0.01
threw,28,0.01
entirely,28,0.01
walk,28,0.01
moved,28,0.01
care,28,0.01
eye,27,0.01
body,27,0.01
following,27,0.01
gets,27,0.01
smiled,27,0.01
fever,27,0.01
public,27,0.01
pleased,27,0.01
laid,27,0.01
wants,27,0.01
cut,27,0.01
quietly,27,0.01
goes,27,0.01
liked,27,0.01
prokofych,27,0.01
torment,27,0.01
curiosity,27,0.01
thank,27,0.01
weren,27,0.01
beside,27,0.01
ladies,27,0.01
memorial,27,0.01
hastened,26,0.01
passing,26,0.01
simple,26,0.01
interested,26,0.01
boy,26,0.01
frenzy,26,0.01
spoken,26,0.01
best,26,0.01
beyond,26,0.01
clerk,26,0.01
arm,26,0.01
lived,26,0.01
acquaintance,26,0.01
carefully,26,0.01
spit,26,0.01
society,26,0.01
softly,26,0.01
trunk,26,0.01
invited,26,0.01
wearing,26,0.01
troubled,26,0.01
mouth,26,0.01
free,26,0.01
stairway,26,0.01
staring,26,0.01
strength,26,0.01
crone,26,0.01
impression,25,0.01
rage,25,0.01
makes,25,0.01
sidewalk,25,0.01
obvious,25,0.01
bent,25,0.01
doubt,25,0.01
wrote,25,0.01
prepared,25,0.01
die,25,0.01
eat,25,0.01
fifteen,25,0.01
greatly,25,0.01
effort,25,0.01
raising,25,0.01
bread,25,0.01
pillow,25,0.01
recently,25,0.01
kitchen,25,0.01
friends,25,0.01
heavy,25,0.01
forget,25,0.01
addressing,25,0.01
criminal,25,0.01
shaking,25,0.01
altogether,25,0.01
widow,25,0.01
change,25,0.01
closed,25,0.01
fifty,25,0.01
top,25,0.01
calm,24,0.01
sides,24,0.01
glancing,24,0.01
shouting,24,0.01
leaving,24,0.01
slip,24,0.01
intently,24,0.01
finger,24,0.01
policeman,24,0.01
hurrying,24,0.01
occurred,24,0.01
bench,24,0.01
unknown,24,0.01
nikodim,24,0.01
entered,24,0.01
anguish,24,0.01
nor,24,0.01
high,24,0.01
fomich,24,0.01
holding,24,0.01
visitor,24,0.01
forgotten,24,0.01
moving,24,0.01
presence,24,0.01
meaning,24,0.01
week,24,0.01
less,23,0.01
meant,23,0.01
dirty,23,0.01
irritated,23,0.01
happiness,23,0.01
thrown,23,0.01
apparently,23,0.01
break,23,0.01
extraordinary,23,0.01
fianc,23,0.01
unfortunate,23,0.01
loudly,23,0.01
thin,23,0.01
burning,23,0.01
ground,23,0.01
inside,23,0.01
tenants,23,0.01
final,23,0.01
perfectly,23,0.01
shame,23,0.01
cause,23,0.01
sensation,23,0.01
excited,23,0.01
written,23,0.01
painful,23,0.01
sorts,23,0.01
mistaken,23,0.01
garden,23,0.01
sudden,23,0.01
ordinary,23,0.01
sing,23,0.01
torn,23,0.01
knees,22,0.01
koch,22,0.01
changed,22,0.01
bell,22,0.01
dinner,22,0.01
confused,22,0.01
cart,22,0.01
doorway,22,0.01
priest,22,0.01
broke,22,0.01
ideas,22,0.01
nearly,22,0.01
honest,22,0.01
sound,22,0.01
entryway,22,0.01
university,22,0.01
wished,22,0.01
tormenting,22,0.01
details,22,0.01
fire,22,0.01
timidly,22,0.01
station,22,0.01
remarked,22,0.01
self,22,0.01
yours,22,0.01
view,22,0.01
foot,22,0.01
gateway,22,0.01
aloud,22,0.01
forty,22,0.01
legs,22,0.01
crossed,22,0.01
merely,22,0.01
act,22,0.01
gloomy,22,0.01
fate,22,0.01
closet,22,0.01
drinking,22,0.01
duty,22,0.01
rags,22,0.01
according,22,0.01
power,22,0.01
dropped,22,0.01
beautiful,22,0.01
fine,21,0.01
addressed,21,0.01
fit,21,0.01
pushed,21,0.01
courtyard,21,0.01
reality,21,0.01
pray,21,0.01
haymarket,21,0.01
effect,21,0.01
shouldn,21,0.01
onto,21,0.01
moreover,21,0.01
drop,21,0.01
arrived,21,0.01
occasion,21,0.01
sight,21,0.01
alarmed,21,0.01
swear,21,0.01
glanced,21,0.01
personal,21,0.01
working,21,0.01
lock,21,0.01
lies,21,0.01
secret,21,0.01
whose,21,0.01
aware,21,0.01
concerning,21,0.01
recalled,21,0.01
suffer,21,0.01
capable,21,0.01
purse,21,0.01
followed,21,0.01
search,21,0.01
sharp,21,0.01
canal,21,0.01
sonechka,21,0.01
